2017-11-02 14:25:35 6503 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 14:25:35 6512 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 14:25:42 13636 [main] WARN  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'sleuthStreamSpanReporter' defined in class path resource [org/springframework/cloud/sleuth/stream/SleuthStreamAutoConfiguration.class]: Unsatisfied dependency expressed through method 'sleuthStreamSpanReporter' parameter 0; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'org.springframework.cloud.sleuth.stream.HostLocator' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {}
2017-11-02 14:43:34 5982 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 14:43:34 5989 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 14:43:37 9583 [main] WARN  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'sleuthStreamSpanReporter' defined in class path resource [org/springframework/cloud/sleuth/stream/SleuthStreamAutoConfiguration.class]: Unsatisfied dependency expressed through method 'sleuthStreamSpanReporter' parameter 0; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'org.springframework.cloud.sleuth.stream.HostLocator' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {}
2017-11-02 14:53:12 11528 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 14:53:12 11535 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 14:55:52 171342 [Thread-25] WARN  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1509605752183, current=DOWN, previous=UP]
2017-11-02 14:56:04 6051 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 14:56:04 6056 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 15:04:47 529251 [Thread-25] WARN  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1509606287628, current=DOWN, previous=UP]
2017-11-02 15:05:01 8545 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 15:05:01 8550 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2017-11-02 16:34:18 5365479 [Thread-25] WARN  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1509611658091, current=DOWN, previous=UP]
2017-11-02 16:34:18 5365493 [Thread-25] WARN  c.n.d.s.t.d.RetryableEurekaHttpClient - Request execution failed with message: java.net.ConnectException: Connection refused
2017-11-02 16:34:18 5365495 [Thread-25] WARN  c.n.d.s.t.d.RetryableEurekaHttpClient - Request execution failed with message: java.net.ConnectException: Connection refused
